City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
278,Amga,RU,2022-04-30 13:14:37,60.8953,131.9608,25.77,92,16,1.48
279,Key West,US,2022-04-30 13:11:09,24.5557,-81.7826,84.2,60,20,11.5
280,Fort Nelson,CA,2022-04-30 13:14:37,58.8053,-122.7002,30.74,97,100,2.95
281,Nishihara,JP,2022-04-30 13:14:38,26.1842,127.7558,72.68,73,100,8.05
282,Nardaran,AZ,2022-04-30 13:14:38,40.5561,50.0056,62.24,72,20,23.02
283,Saint George,US,2022-04-30 13:14:39,37.1041,-113.5841,52.95,34,0,10.36
284,Ust-Ishim,RU,2022-04-30 13:14:39,57.6935,71.1665,45.37,36,54,7.7
285,Salinopolis,BR,2022-04-30 13:14:40,-0.6136,-47.3561,79.86,85,100,7.43
286,Verkhniye Tatyshly,RU,2022-04-30 13:14:40,56.2912,55.8575,47.7,31,7,3.0
287,Boo,SE,2022-04-30 13:14:41,59.3333,18.2833,55.96,52,0,9.22
288,Cody,US,2022-04-30 13:14:41,44.5263,-109.0565,33.39,87,0,3.44
289,Kholodnyy,RU,2022-04-30 13:14:42,62.7167,147.95,24.49,88,98,1.79
290,Tomatlan,MX,2022-04-30 13:14:42,19.9333,-105.25,63.9,46,3,3.09
291,Roebourne,AU,2022-04-30 13:14:43,-20.7833,117.1333,78.12,45,37,13.76
292,Atar,MR,2022-04-30 13:14:44,20.5169,-13.0499,93.99,9,0,5.44
293,Tahta,EG,2022-04-30 13:14:44,26.7693,31.5021,100.53,6,24,17.0
294,Kutahya,TR,2022-04-30 13:14:45,39.4242,29.9833,59.31,62,98,15.88
