City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Praia,CV,14.9215,-23.5087,84.74,42,20,17.27,few clouds
182,Pauini,BR,-7.7136,-66.9764,74.77,96,100,1.83,overcast clouds
183,Mineral Wells,US,32.8085,-98.1128,75.22,83,20,8.05,few clouds
184,Wajir,KE,1.7471,40.0573,89.56,51,75,5.75,broken clouds
185,Kudahuvadhoo,MV,2.6708,72.8944,85.51,76,100,19.71,overcast clouds
186,Labuan,MY,5.2767,115.2417,82.76,78,20,2.3,few clouds
187,Georgetown,MY,5.4112,100.3354,82.33,99,40,5.99,thunderstorm with light rain
188,Narsaq,GL,60.9167,-46.05,43.02,90,100,2.39,light rain
189,Homer,US,59.6425,-151.5483,39.09,83,100,8.05,light rain
190,Harper,LR,4.375,-7.7169,85.53,70,35,7.4,light rain
191,Port Lincoln,AU,-34.7333,135.8667,59.47,78,3,7.49,clear sky
192,San-Pedro,CI,4.7485,-6.6363,86.34,67,99,9.44,overcast clouds
193,Dunmore Town,BS,25.5,-76.65,75.6,73,100,17.74,overcast clouds
194,Kelvington,CA,52.1667,-103.5343,34.68,79,89,10.22,overcast clouds
195,Muroto,JP,33.2833,134.15,60.22,51,13,9.35,few clouds
196,Kindu,CD,-2.95,25.95,85.44,52,55,1.86,broken clouds
197,Olafsvik,IS,64.8945,-23.7142,38.23,64,57,13.71,broken clouds
198,Poum,NC,-20.2333,164.0167,77.45,82,0,2.3,clear sky
199,Vilhena,BR,-12.7406,-60.1458,82.62,61,0,9.22,clear sky
200,Bata,GQ,1.8639,9.7658,77.49,90,100,4.92,moderate rain
201,Moron,AR,-34.6534,-58.6198,57.0,67,65,7.43,broken clouds
202,Beloha,MG,-25.1667,45.05,72.25,61,47,9.78,scattered clouds
203,Lenine,UA,45.2986,35.7771,55.76,62,4,16.04,clear sky
204,Provideniya,RU,64.3833,-173.3,19.06,55,8,5.61,clear sky
205,Ayan,RU,56.45,138.1667,29.73,98,100,4.32,light snow
206,Kisszallas,HU,46.2801,19.4895,64.98,48,100,8.88,overcast clouds
207,Juegang,CN,32.3174,121.1855,57.0,85,32,10.27,scattered clouds
208,Hovd,MN,48.0056,91.6419,64.72,17,100,10.78,overcast clouds
209,Bongandanga,CD,1.5,21.05,92.86,36,44,4.5,scattered clouds
210,Beringovskiy,RU,63.05,179.3167,3.76,89,17,6.06,few clouds
211,Port Moresby,PG,-9.4431,147.1797,78.22,89,40,3.44,haze
212,Bambous Virieux,MU,-20.3428,57.7575,79.21,83,40,5.75,scattered clouds
213,Sao Francisco,BR,-15.9486,-44.8644,89.19,34,63,4.32,broken clouds
214,Lisakovsk,KZ,52.5369,62.4936,50.2,24,0,10.49,clear sky
215,Galesong,ID,-5.3166,119.3661,80.62,76,12,6.46,few clouds
216,Calabozo,VE,8.9242,-67.4293,86.52,49,2,10.42,clear sky
217,Katsuura,JP,35.1333,140.3,60.31,66,97,21.21,overcast clouds
218,Shaunavon,CA,49.6501,-108.4181,38.98,66,98,16.58,overcast clouds
219,Parrsboro,CA,45.4001,-64.332,46.42,83,100,10.69,overcast clouds
220,Mayskiy,RU,47.6931,40.1025,60.21,39,92,8.79,overcast clouds
221,Samana,DO,19.2056,-69.3369,78.76,88,75,0.0,broken clouds
222,Pata,PH,17.7152,121.5018,76.17,90,100,3.2,light rain
223,Lorengau,PG,-2.0226,147.2712,80.91,77,84,4.12,broken clouds
224,Rocky Mountain House,CA,52.3668,-114.9188,35.71,100,100,6.91,overcast clouds
225,Sabinas,MX,27.85,-101.1167,74.68,87,92,5.12,overcast clouds
226,Ambilobe,MG,-13.2,49.05,79.36,81,55,1.88,light rain
227,Atasu,KZ,48.6814,71.6433,64.44,45,95,13.33,overcast clouds
228,Bereznik,RU,62.8551,42.7072,42.71,80,100,9.42,overcast clouds
229,Shawnee,US,39.05,-95.7669,53.19,77,0,12.66,clear sky
230,The Valley,AI,18.217,-63.0578,83.1,78,40,13.8,scattered clouds
231,Orsova,RO,44.7253,22.3961,65.66,41,100,13.6,overcast clouds
232,Broome,US,42.2506,-75.833,56.46,86,100,5.01,mist
233,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,70,29,4.0,scattered clouds
234,Camacha,PT,33.0833,-16.3333,63.82,77,75,19.57,light intensity drizzle
235,Refojos De Basto,PT,41.5132,-7.9952,66.67,40,32,7.52,scattered clouds
236,Leh,IN,34.1667,77.5833,54.16,21,4,5.77,clear sky
237,Acapulco,MX,16.8634,-99.8901,81.3,50,100,3.22,overcast clouds
238,Yangambi,CD,0.8102,24.4336,79.77,59,100,1.52,overcast clouds
239,Isangel,VU,-19.55,169.2667,78.4,87,71,10.02,broken clouds
240,Kulhudhuffushi,MV,6.6221,73.07,85.48,74,100,16.37,overcast clouds
241,Luwuk,ID,-0.9516,122.7875,78.46,84,24,4.09,few clouds
242,Upernavik,GL,72.7868,-56.1549,10.0,74,40,2.84,scattered clouds
243,Asau,RO,46.4333,26.4,65.32,35,28,7.92,scattered clouds
244,Whitehorse,CA,60.7161,-135.0538,37.02,83,75,16.11,broken clouds
245,Saldanha,ZA,-33.0117,17.9442,89.65,59,100,12.91,overcast clouds
246,Kotido,UG,2.9806,34.1331,75.56,65,87,4.7,moderate rain
247,Hambantota,LK,6.1241,81.1185,86.34,84,75,6.91,broken clouds
248,Muromtsevo,RU,56.3724,75.2418,40.87,73,100,15.03,overcast clouds
249,Nakhon Phanom,TH,17.3333,104.4167,66.0,57,99,7.85,overcast clouds
250,Qaanaaq,GL,77.484,-69.3632,15.96,59,100,3.94,overcast clouds
251,Kavieng,PG,-2.5744,150.7967,82.45,77,100,4.0,moderate rain
252,Safaga,EG,26.7292,33.9365,82.9,39,6,4.85,clear sky
253,Den Helder,NL,52.9599,4.7593,60.94,47,7,7.0,clear sky
254,Rajpipla,IN,21.8667,73.5,94.32,39,0,16.46,clear sky
255,Kyshtovka,RU,56.555,76.6271,44.82,76,89,16.64,overcast clouds
256,Aklavik,CA,68.2191,-135.0107,26.89,97,100,3.02,overcast clouds
257,Zhanaozen,KZ,43.3,52.8,77.0,20,84,11.43,broken clouds
258,Tambacounda,SN,13.7539,-13.7586,107.85,7,13,5.95,few clouds
259,Parkes,AU,-33.1333,148.1833,53.35,86,0,5.32,clear sky
260,Letterkenny,IE,54.95,-7.7333,55.33,70,98,4.88,overcast clouds
261,Xai-Xai,MZ,-25.0519,33.6442,72.41,78,27,10.89,light rain
262,Iwanai,JP,42.9744,140.5089,42.26,90,99,12.64,light rain
263,Lubao,PH,14.9167,120.55,84.27,73,95,1.23,overcast clouds
264,Najran,SA,17.4924,44.1277,95.65,12,2,14.74,clear sky
265,Half Moon Bay,US,37.4636,-122.4286,52.75,85,100,25.32,overcast clouds
266,Ostashkov,RU,57.1467,33.1075,52.05,50,94,7.56,overcast clouds
267,Bolitoc,PH,15.7395,119.8769,81.64,78,60,2.93,broken clouds
268,Adrar,MR,20.5022,-10.0711,97.32,8,0,5.48,clear sky
269,Erzin,TR,36.9559,36.2,67.59,76,93,7.7,overcast clouds
270,Carnarvon,AU,-24.8667,113.6333,71.67,68,0,14.97,clear sky
271,Mont-De-Marsan,FR,44.0,-0.6667,67.6,64,75,8.05,broken clouds
272,Nigran,ES,42.1415,-8.8066,68.04,42,0,12.66,clear sky
273,Mount Gambier,AU,-37.8333,140.7667,55.31,88,75,9.22,broken clouds
274,Salto,UY,-31.3833,-57.9667,53.87,82,0,11.99,clear sky
275,Vanimo,PG,-2.6741,141.3028,78.57,86,79,2.28,broken clouds
276,Port Shepstone,ZA,-30.7414,30.455,69.46,69,0,5.14,clear sky
277,Henties Bay,NA,-22.116,14.2845,69.98,60,3,11.1,clear sky
278,Tocopilla,CL,-22.092,-70.1979,66.7,63,6,4.16,clear sky
279,Lyantonde,UG,-0.4031,31.1572,74.14,71,86,5.37,light rain
280,Kunya,NG,12.2233,8.5325,104.16,24,0,8.05,clear sky
281,Port Hardy,CA,50.6996,-127.4199,46.58,93,100,6.91,overcast clouds
282,Jutai,BR,-5.1833,-68.9,74.32,97,99,2.86,overcast clouds
283,Tommot,RU,58.9564,126.2925,21.18,90,50,4.29,scattered clouds
284,Savannah Bight,HN,16.45,-85.85,81.66,77,71,15.88,broken clouds
285,Oktyabrskiy,RU,54.4815,53.471,51.58,42,52,8.37,broken clouds
286,Urusha,RU,54.05,122.9,34.75,63,100,8.41,overcast clouds
287,Urumqi,CN,43.801,87.6005,77.95,12,0,15.66,clear sky
288,Sabzevar,IR,36.2126,57.6819,72.68,43,40,20.71,shower rain
289,Svetlaya,RU,46.5389,138.3297,36.3,92,100,8.01,overcast clouds
290,Hamilton,US,39.1834,-84.5333,61.75,65,20,4.61,few clouds
291,Saint-Joseph,RE,-21.3667,55.6167,79.18,81,24,5.99,few clouds
292,Vao,NC,-22.6667,167.4833,75.65,87,49,8.5,scattered clouds
293,Aleksandrovka,UA,46.8383,32.7612,60.91,50,100,3.58,overcast clouds
294,Luderitz,NA,-26.6481,15.1594,77.13,34,0,2.24,clear sky
295,Boende,CD,-0.2167,20.8667,92.75,37,44,2.91,scattered clouds
296,Havelock,US,34.8791,-76.9013,76.98,80,20,18.41,few clouds
297,Saint Anthony,US,45.0205,-93.218,41.88,77,100,16.11,overcast clouds
298,Alofi,NU,-19.0595,-169.9187,80.49,89,100,10.36,overcast clouds
299,Nueva Guinea,NI,11.6876,-84.4562,79.18,81,84,7.94,broken clouds
300,Grand Gaube,MU,-20.0064,57.6608,79.38,73,9,3.0,clear sky
301,Faya,SA,18.3851,42.4509,75.72,50,42,12.8,light rain
302,Chateau-Gontier,FR,47.8333,-0.7,66.36,55,97,11.45,overcast clouds
303,Kitimat,CA,54.0524,-128.6534,43.18,28,100,0.74,overcast clouds
304,Lasa,IT,46.6166,10.7002,58.08,77,100,2.21,overcast clouds
305,Beidao,CN,34.5686,105.8933,53.78,52,0,4.97,clear sky
306,Hithadhoo,MV,-0.6,73.0833,85.46,75,100,17.94,overcast clouds
307,Kanigiri,IN,15.4,79.5167,94.6,43,100,15.46,overcast clouds
308,Aswan,EG,24.0934,32.907,106.9,6,0,4.61,clear sky
309,Hurghada,EG,27.2574,33.8129,93.24,18,0,5.75,clear sky
310,Dzerzhinsk,RU,56.2389,43.4631,49.82,57,40,8.95,scattered clouds
311,Ardakan,IR,32.31,54.0175,84.27,11,27,17.38,scattered clouds
312,Havre-Saint-Pierre,CA,50.2334,-63.5986,44.96,29,20,14.97,few clouds
313,Oshakati,NA,-17.7833,15.6833,96.82,21,21,7.96,few clouds
